candidate_id,layer,row,col,value
ANN_000,0,0,0,-0.06640958096278111
ANN_000,0,0,1,0.21097399535435998
ANN_000,0,0,2,-6.421924010134366e-59
ANN_000,0,0,3,-3.38576874306757e-65
ANN_000,0,0,4,-5.284597930481612e-51
ANN_000,0,0,5,-0.3634602839828276
ANN_000,0,0,6,-0.1905062581475318
ANN_000,0,0,7,1.4404176808174525
ANN_000,0,0,8,-0.0350484544364536
ANN_000,0,0,9,0.09006735272201805
ANN_000,0,0,10,-2.4905112989367765e-41
ANN_000,0,0,11,0.2085241963741053
ANN_000,0,0,12,0.14750311825452556
ANN_000,0,0,13,-0.10772057739803194
ANN_000,0,0,14,-0.1624949837072449
ANN_000,0,0,15,5.186613416017983e-53
ANN_000,0,0,16,2.219154038485087e-61
ANN_000,0,0,17,0.03740701012707884
ANN_000,0,0,18,-0.033840389770156735
ANN_000,0,0,19,-0.5236537625364466
ANN_000,0,0,20,0.02835680201972453
ANN_000,0,0,21,-0.15711588293965195
ANN_000,0,0,22,-0.14237882615020128
ANN_000,0,0,23,9.799653722064466e-64
ANN_000,0,0,24,0.01679521805057213
ANN_000,0,0,25,2.6172378767776568e-56
ANN_000,0,0,26,-0.14202145290968618
ANN_000,0,0,27,-1.7732960472316647e-67
ANN_000,0,0,28,0.06072448280024643
ANN_000,0,0,29,1.5437923567660834e-42
ANN_000,0,0,30,4.132784759987518e-65
ANN_000,0,0,31,-0.1414727128252521
ANN_000,0,0,32,-1.055351534570386e-44
ANN_000,0,0,33,0.10179817516221351
ANN_000,0,0,34,0.213552263576571
ANN_000,0,0,35,0.12466435911103883
ANN_000,0,0,36,-0.09217995252223765
ANN_000,0,0,37,-0.16094894854348668
ANN_000,0,0,38,0.0926551459940951
ANN_000,0,0,39,-0.020730052138308717
ANN_000,0,0,40,-0.20077185955976123
ANN_000,0,0,41,3.701609829333958e-68
ANN_000,0,0,42,-5.525664340126628e-42
ANN_000,0,0,43,0.19003810755008954
ANN_000,0,0,44,-0.14566766733356057
ANN_000,0,0,45,-0.2272108901380001
ANN_000,0,0,46,-0.05591013561018715
ANN_000,0,0,47,0.03796082279736014
ANN_000,0,0,48,0.011383740321511536
ANN_000,0,0,49,4.054556141674872e-53
ANN_000,0,0,50,0.09754758800178512
ANN_000,0,0,51,0.08621042128282809
ANN_000,0,0,52,0.20365578835111658
ANN_000,0,0,53,0.13722776924408003
ANN_000,0,0,54,0.007148110967812035
ANN_000,0,0,55,-0.0074443531235784234
ANN_000,0,0,56,-7.294127764547229e-46
ANN_000,0,0,57,-0.12803078742872842
ANN_000,0,0,58,-0.20428563936835237
ANN_000,0,0,59,-0.09841748806269401
ANN_000,0,0,60,-0.049309105020636325
ANN_000,0,0,61,-5.181682708258221e-59
ANN_000,0,0,62,0.09705823771927406
ANN_000,0,0,63,-0.09209671345449051
ANN_000,0,0,64,1.7394276661031435e-59
ANN_000,0,0,65,-0.07730875940021553
